Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
Arcos,50172,39638,82337,362282,353213,655466,1692647,948375,841953,990452,Spain,Gas,Iberdrola,175,36.7543968,-5.8186085
Amer,5881587,6389014,5669492,3520986,3575313,2251751,1833587,942156,546211,978205,Netherlands,Hard Coal,RWE,176,51.7112209,4.8413421
Dormagen,1382096,1102348,1213984,1585620,1388788,1060583,1229238,1123777,1063848,973948,Germany,Gas,RWE,177,51.0907133,6.8118573
Raffineriekraftwerk Leuna,920047,811161,902303,910573,886231,926472,890029,942454,837957,973323,Germany,Gas,RKB Raffinerie-Kraftwerks-Betriebs GmbH,178,51.3254558,12.0128686
Escatrón CCGT,1536,13532,26881,233,341214,38,722319,787538,209829,957832,Spain,Gas,Repsol,179,41.2210368,-0.3793816
Centrale Electrique Pont sur Sambre,219775,61559,211016,579740,758570,449881,559152,658454,554972,956254,France,Gas,Total,180,50.230486,3.867405
Voghera,473143,617516,623575,836799,691452,802791,778304,757988,646887,954329,Italy,Gas,ENGIE,181,45.0295075,8.974448
CCGT Płock,,,,,0,739088,1460944,1460196,946905,952013.9943,Poland,Gas,Orlen Group,182,52.5887593,19.655524
Heizkraftwerk GuD Süd,1234573,1003446,1131463,1319882,1367311,1202453,1212205,1204757,1442015,940698,Germany,Gas,BASF SE,183,49.496315,8.4272839
Whitegate Power Station,744346,652365,752676,960410,989262,678359,923191,765553,64239,939783,Ireland,Gas,Centrica,184,51.8161535,-8.2611528
ERG CCGT,1382429,1259142,1230604,1215501,1130171,1008423,1154869,1147454,921245,938930,Italy,Gas,ERG Group,185,37.1509259,15.1925059
Cassano D'Adda,327923,295452,258973,324961,629226,542720,528603,478576,652194,937515,Italy,Gas,A2A,186,45.5125744,9.508383
As Pontes,6610765,6909512,7542286,6930136,8115483,7936709,2314687,1005656,520748,930291,Spain,Hard Coal,ENEL,187,43.4743025,-7.8395151
Melitis (Florina),1452834,2098480,1605506,1557925,2273794,1876833,1412168,973593,744436,928681,Greece,Lignite,ΔΕΗ,188,40.83,21.581667
Calenia Energia,686272,411986,1115847,848538,930761,805925,1179413,777390,984829,926577,Italy,Gas,AXPO Holding,189,41.1768566,14.0983279
Komorany,1103040,771349,811611,918202,1146500,983065,621043,590896,826466,922607,Czechia,Lignite,EPH,190,50.5220445,13.5737547
Roselectra,515606,478050,693993,792571,870258,577930,798715,766017,856830,918567,Italy,Gas,ENGIE,191,43.3860989,10.4433
Lausward,253796,215733,384917,1076256,1041684,1107614,1144305,1377984,1089909,915963,Germany,Gas,Stadtwerke Düsseldorf AG,192,51.2231865,6.735621
Emile-Huchet,3683432,1976690,2818871,2697848,3699604,2385583,1892450,102395,515214,914017,France,Hard Coal,EPH,193,49.10524,6.70782
Frechen/Wachtberg,1699684,1549477,1496057,1197198,1312134,1342724,1183566,882559,851553,913185,Germany,Lignite,RWE,194,50.8989744,6.7975926
Auvere Elektrijaam,,12003,572774,1046924,1359925,1519008,648539,798017,885666,910442,Estonia,Oil,Eesti Energia AS,195,59.3186346,27.9158381
Gönyűi,104228,257734,353488,560268,750200,845676,912200,810153,830836,897078,Hungary,Gas,Uniper,196,47.7339973,17.8093402
Studstrup,2555142,1849965,1477579,1380714,475338,823549,352343,513917,689376,893603,Denmark,Hard Coal,Ørsted,197,56.2507965,10.3414312
San Severo,471994,467273,565732,579479,709306,636514,499053,660832,759066,889961,Italy,Gas,Alpiq,198,41.6854203,15.3795161
Salmisaari,671910,549367,635540,991391,962426,864730,906398,630654,886506,864975,Finland,Hard Coal,Helen,199,60.16419,24.9051743
Tepláreň,738067,572846,660975,752803,729267,776743,759828,783029,784609,861297,Slovakia,Other Fossil Fuel,"SLOVNAFT, a.s.",200,48.1281993,17.1766007
Lodz 4,657359,646548,769004,900368,929878,895957,693780,693532,901382,860421,Poland,Hard Coal,Veolia,201,51.7480589,19.5422604
Marghera Levante,890968,499931,896407,917922,881342,843083,871912,783808,784975,859371,Italy,Gas,EDF,202,45.4447224,12.2196386
Te-TO Zagreb,746207,368784,411123,439513,836017,550601,648733,773758,755894,859167,Croatia,Gas,HEP Group,203,45.7836984,16.0143936
Inowrocław CHP,696783,683586,662663,849054,860775,878706,855800,835801,821609,854461,Poland,Hard Coal,CIECH Group,204,52.7494277,18.2496066
Frankfurt/Main West,948863,871180,845063,824067,929738,709806,638448,602643,827054,853749,Germany,Hard Coal,Mainova Aktiengesellschaft,205,50.1187541,8.6333669
Siersza,1757898,1311261,1816763,1597860,1538045,1373302,1177875,751495,992819,840339,Poland,Hard Coal,Tauron,206,50.1931448,19.4179283
Port-Est,256716,457493,438041,516252,561698,518689,636288,600042,799917,834828,France,Oil,EDF,207,46.227638,2.213749
Huntstown phase 2,650399,440825,467046,530389,346297,545825,511292,537790,190841,830163,Ireland,Gas,I Squared Capital,208,53.3890957,-6.3050539
Bahía de Bizkaia Electricidad,1159517,1075395,676564,500541,469533,315299,806254,437503,201637,827230,Spain,Gas,BP,209,43.3592173,-3.0930087
Torino Nord,744495,452059,898777,873098,819582,852701,838900,872221,904849,811827,Italy,Gas,Iren SpA,210,45.1036679,7.614649
Lodz 3,789881,589473,656150,865511,834130,831302,836325,847449,946355,810417,Poland,Hard Coal,Veolia,211,51.7982393,19.4217661
Bobov Dol,2030790,2301350,2458329,2582966,2149179,1193696,875384,591099,752943,810331,Bulgaria,Lignite,Consortium Energia MK,212,42.26815,23.1113972
Centrale Termoelettrica Leinì,602014,477109,668186,783150,871075,783499,732658,705415,856512,806398,Italy,Gas,ENGIE,213,45.1581833,7.752661
El Fangal,37538,68072,153181,213141,281466,106659,1050911,869001,432048,801732,Spain,Gas,ENGIE,214,37.5658678,-0.9199773
Janikowo,824332,860780,845473,873641,861067,846748,809057,722517,775861,800509,Poland,Hard Coal,CIECH Group,215,52.763738,18.10549
Thiva Heron,553812,233643,165119,496401,436995,553557,601808,454197,665221,790245,Greece,Gas,Heron,216,38.302688,23.3205963
Besós - 5,294850,304226,337569,288253,543192,336260,529458,361010,337382,787077,Spain,Gas,ENEL,217,41.4192755,2.2267023
Centrale Electrique Toul,247879,73688,275530,624474,736046,438328,598905,499745,555754,785851,France,Gas,Total,218,48.693702,5.912116
Korinthos,574694,127693,240917,586751,645133,741227,807918,836045,612246,782074,Greece,Gas,Mytilineos,219,37.9282447,23.1433311
Bexbach,2861582,2060120,2174385,1843866,508496,37768,79358,167776,263604,774976,Germany,Hard Coal,Evonik Industries AG,220,49.3538196,7.2471311
Nuova Rosen,1255315,1272124,1304884,1389660,988780,781113,759059,754547,790788,773396,Italy,Gas,GDF SUEZ ENERGIA ITALIA S.p.A.,221,43.3860989,10.4433
Krefeld-Uerdingen,991003,891083,950446,994140,888622,943348,977244,839907,861251,763522,Germany,Hard Coal,Currenta GmbH & Co. OHG,222,51.37204,6.649869
Sermide,457599,225769,394739,354127,437477,556195,575675,486292,686608,761288,Italy,Gas,A2A,223,45.022955,11.254988
Leverkusen,804073,757014,760235,718721,705942,731566,648572,573315,754444,750384,Germany,Hard Coal,Currenta GmbH & Co. OHG,224,51.0459248,7.0192196
Melnik II/III,2291232,3163683,3112351,2647516,2511886,2357993,2760689,1584673,827316,750108,Czechia,Lignite,CEZ,225,50.416993,14.4126
Rizziconi Energia,370074,205140,1429434,1120756,1196598,916268,1083491,1075554,951542,743911,Italy,Gas,AXPO Holding,226,38.4426907,15.9883382
Goldenberg,1501208,1277618,1164166,898303,847900,804094,807126,778005,766976,739226,Germany,Lignite,RWE,227,50.8618065,6.8414074
Huntstown Power Station,124041,41113,329204,263863,586567,497590,686180,657649,775793,735149,Ireland,Gas,I Squared Capital,228,53.3890957,-6.3050539
Centrale Cycofos,85651,0,152920,577833,538826,357831,494862,509454,468489,732870,France,Gas,ENGIE,229,43.437882,4.945711
Centrale Di Gissi,112601,129832,260824,419518,439173,418561,726647,907154,886581,731555,Italy,Gas,A2A,230,42.049696,14.5611804
Central Termoeléctrica de Lares,234180,124676,719354,759888,1280730,668646,1245769,1219757,646705,728827,Portugal,Gas,EDP,231,41.6507161,-8.4332813
Bydgoszcz II,798087,725139,754880,723306,726992,696261,700824,669175,728713,723452,Poland,Hard Coal,PGE,232,53.1036907,18.0882151
Trebovice,1204552,1200413,1153778,1167923,990778,852244,735172,753285,805867,722349,Czechia,Hard Coal,Veolia,233,49.8300264,18.210927
Son Reus,96498,112219,234383,191105,99960,170096,152772,379928,632361,722164,Spain,Gas,ENEL,234,39.6455071,2.6796665
Bremen-Hastedt,772367,687726,779277,737797,774343,702955,732012,666521,696256,719066,Germany,Hard Coal,swb Erzeugung AG & Co. KG,235,53.0873597,8.8086241
Atherinolakkos,693567,729602,732837,753549,769027,791972,790285,763639,769180,716665,Greece,Oil,ΔΕΗ,236,35.0038681,26.1410808
Bucuresti Sud,842720,868382,883239,781258,920409,839345,792976,571955,764862,711648,Romania,Gas,SC Electrocentrala Bucuresti SA,237,44.4037788,26.1498837
Aliveri ,400024,557941,666918,535119,782963,839329,664179,846438,888892,702672,Greece,Oil,ΔΕΗ,238,38.4061122,24.0440187
Sabón,347909,82435,62072,72505,122147,31390,593273,804205,641675,699593,Spain,Gas,Naturgy,239,43.314521,-8.5000668
Infraserv Hoechst,987858,957963,926405,1036947,943067,1010150,868571,669900,754600,696885,Germany,Hard Coal,Infraserv GmbH & Co. Höchst KG,240,50.0910506,8.5346812
Candela,876631,925334,987342,1044561,591676,520845,653563,583540,470061,696479,Italy,Gas,EDF,241,41.1844381,15.492985
Amercoeur,737653,967566,887735,945263,836782,844772,842729,880722,800478,688550,Belgium,Gas,ENGIE,242,50.4293057,4.3962596
ISD Power,793264,1019482,1432151,1070320,1503450,1675339,1364188,1244560,866342,688093,Hungary,Other Fossil Fuel,DUNAFERR Company Group,243,46.9501484,18.9466703
Centrale Electrique Bayet,61029,73260,361459,505454,504765,251961,418491,585729,437891,685193,France,Gas,TOTAL DIRECT ENERGIE CENTRALE ELECTRIQUE BAYET,244,46.249259,3.269601
Dublin Bay Power Plant,1088618,1094267,1137015,995019,1042972,1111570,848621,742726,679932,683415,Ireland,Gas,ESB Group,245,53.3436318,-6.2220048
Donaustadt,362332,379018,439413,534586,409794,630614,640791,854315,629300,676597,Austria,Gas,Wien Energie Group,246,48.1989002,16.4604326
Piacenza Levante,334104,263544,428956,312931,657640,642718,607316,504756,558098,675305,Italy,Gas,A2A,247,45.0575227,9.7070353
Köln INEOS,669814,644988,667410,586296,724342,774581,730909,650548,686108,668029,Germany,Gas,INEOS Manufacturing Deutschland GmbH,248,51.0670564,6.8460238
Marzahn,123521,94738,115610,151901,134764,133111,127182,519147,665766,667865,Germany,Gas,Vattenfall Wärme Berlin Aktiengesellschaft,249,52.5251839,13.5234593
Aghada CCGT,451524,449482,337570,544704,501858,686308,489486,675188,807993,666836,Ireland,Gas,ESB Group,250,51.9147726,-8.4698094
Turbigo,372980,393413,633906,765929,508008,480622,956144,1051006,899630,664416,Italy,Gas,Iren SpA,251,45.5240779,8.7348869
Tynagh,168662,446134,217682,341195,323334,510382,754026,675450,773138,655786,Ireland,Gas,EPH,252,53.1636814,-8.3944995
Gdynia,704035,680194,660491,686189,668579,672214,652218,639246,668712,655175,Poland,Hard Coal,PGE,253,54.5540478,18.4706685
Monfalcone,1999525,1775661,2037302,2145154,1920425,1876634,897181,129310,130694,651035,Italy,Hard Coal,A2A,254,45.7985161,13.5478909
ESB Poolbeg Generating Station (CCGT),1026642,794122,104821,364984,189705,273154,311969,543271,659638,649320,Ireland,Gas,ESB Group,255,53.3436442,-6.2221722
Besós - 4 ,791934,830907,818712,865306,926299,852009,256343,691601,750578,648316,Spain,Gas,Naturgy,256,41.4192755,2.2267023
Dampfkessel Wesseling,723925,697866,707017,645513,693452,666491,590473,501378,539379,646384,Germany,Gas,Basell Polyolefine GmbH,257,50.8330656,6.9669816
Orlen Wloclawek Power Plant,,,,0,563218,754164,922750,1049789,1022344,646302,Poland,Gas,Orlen Group,258,52.7334042,18.9660501
Iernut,507620,828793,984053,895835,1024682,646851,333688,531072,378841,640740,Romania,Gas,SC Electrocentrale Bucuresti SA,259,46.4443523,24.2291827
T-Power,157624,514236,792483,919897,909731,865731,964089,868565,558203,636648,Belgium,Gas,Tessenderlo Group NV,260,50.8564603,4.4242332
Kraftwerk Deuben,867710,869828,864269,740216,789370,777347,722951,557089,632647,636060.4258,Germany,Lignite,Mitteldeutsche Braunkohlengesellschaft mbH,261,51.0879105,12.0954003
Trmice,531059,573745,531579,412057,486467,551542,449250,429087,474569,630317,Czechia,Lignite,CEZ,262,50.6458676,13.9850035
Hemweg,4177886,2656850,4195699,3996099,3354315,3610074,3215867,860704,686732,628372,Netherlands,Gas,Vattenfall,263,52.4045845,4.851839
HKW Mitte,923866,795776,831156,872230,974109,935834,935432,824739,832446,627240,Germany,Gas,Vattenfall Wärme Berlin Aktiengesellschaft,264,52.5097496,13.4209655
HKW NB Dresden,726928,617657,660906,752872,741516,724518,725752,713976,770563,616282,Germany,Gas,DREWAG - Stadtwerke Dresden GmbH,265,51.0417609,13.7101155
Thessaloniki ,514123,164915,246978,432088,554427,458439,676736,500773,736435,613363,Greece,Gas,Hellenic Petroleum/EDF,266,40.6810566,22.8650523
Kraftwerk Mainz,1107816,549012,393878,652344,633929,427894,735937,877892,503417,610629,Germany,Gas,Kraftwerke Mainz-Wiesbaden AG,267,50.0253997,8.240795
Blenod,2394907,628113,387147,744667,700708,666894,780339,759015,647558,603523,France,Gas,EDF,268,48.9005724,6.0237362
Pomorzany,710881,692621,763880,468746,399017,417639,464453,757682,654797,600584,Poland,Hard Coal,PGE,269,53.3909778,14.5275045
Thisvi,519671,212847,197708,517363,479269,449917,453606,741242,668701,595738,Greece,Gas,Hellenic Petroleum/EDF,270,38.2301653,22.9517854
Linoperamata,687424,714511,724933,664755,712267,700963,661508,555792,623210,593753,Greece,Oil,ΔΕΗ,271,35.3465828,25.045338
Electrogas Malta,,,,,391529,504298,543885,461767,565264,592401,Malta,Gas,Enemalta PLC,272,35.9012495,14.5165095
Ville/Berrenrath,1079838,1064974,957744,805275,825612,1003949,938525,742056,651177,591893,Germany,Lignite,RWE,273,50.8594417,6.8335602
Campo de Gibraltar,,,,2365,224465,5,542697,258440,277677,590738,Spain,Gas,CEPSA,274,36.2104615,-5.3844317
Centrale Drogenbos,320545,157606,329818,186152,196658,335268,397779,504843,438302,587208,Belgium,Gas,ENGIE,275,50.8023839,4.3019432
Alpiq Csepel II,492473,269733,293054,316459,320692,305071,297354,412766,513447,585614,Hungary,Gas,EOS Holdings,276,47.4274808,19.0532709
Besós - 3,67932,117018,347780,409494,378049,508026,485112,440226,446521,585371,Spain,Gas,ENEL,277,41.4295347,2.2118923
Sofia Iztok CCGT,576336,553755,570905,532087,538402,556135,582082,578251,677168,577062,Bulgaria,Gas,Toplofikacia Sofia EAD,278,42.6977082,23.3218675
Zandvliet-Power,816161,378298,768479,797697,695510,781124,800862,852041,617644,576751,Belgium,Gas,ENGIE,279,51.3639105,4.2529356
Centrale Combigolfe,141123,144290,443414,656620,657756,419076,522952,575215,393541,573870,France,Gas,ENGIE,280,43.4354762,4.8308344
Albioma le Gol,787036,795098,739532,695761,727746,695494,709287,727160,700139,572485,France,Hard Coal,ALBIOMA,281,46.227638,2.213749
Marcinelle Energie,513616,263881,428044,358755,577277,464781,596641,565069,309624,568176,Belgium,Gas,Total,282,50.4134305,4.4048911
Põhja,489293,527049,497923,451341,600303,588839,676192,628803,593857,560197,Estonia,Oil,Viru Keemia Grupp AS,283,59.3956812,27.2433702
Komotini,288768,148404,182526,668334,706659,687171,517066,602018,780426,558149,Greece,Gas,ΔΕΗ,284,41.0702533,25.4989626
Wolfsburg North,825081,780774,778198,757745,774561,782927,740389,689809,775063,550689,Germany,Hard Coal,VOLKSWAGEN AKTIENGESELLSCHAFT,285,52.4340092,10.7715825
Aprilia CCGT,452297,272919,318657,561843,698122,766043,874398,694911,833195,547519,Italy,Gas,F2i,286,45.4821569,9.1957786
Escombreras Iberdrola,57,23,85,41101,142919,214850,419669,258940,341559,546184,Spain,Gas,Iberdrola,287,37.5777608,-0.9166755
Flensburg,614950,543876,668226,606591,596836,601832,566625,518014,595375,544622,Germany,Hard Coal,Stadtwerke Flensburg GmbH,288,54.8049783,9.430303
Centrale Termoelettrica Torrevaldaliga,567855,446789,334886,812794,960560,747707,719052,648595,530453,540248,Italy,Gas,Tirreno Power SpA,289,42.1184571,11.770036
Gemeinschaftskraftwerk Burghausen,670599,672834,694408,684752,688971,664276,521038,560948,580468,538142,Germany,Gas,Wacker Chemie AG,290,48.178432,12.840503
Protergia CCGT,596725,175196,226618,537197,739387,606596,758103,768370,819379,537051,Greece,Gas,Mytilineos,291,38.3878186,22.6529542
Santa Barbara,85982,21814,63226,333641,655251,551016,712903,558570,613882,534071,Italy,Gas,ENEL,292,43.521367,11.489437
Sisak,55193,33121,122757,152293,352175,283848,299309,487333,408729,525195,Croatia,Oil,HEP Group,293,45.8208237,16.1055857
Aceca,360056,352354,323584,248907,469156,488271,475441,523229,352523,522261,Spain,Gas,Naturgy,294,39.9579458,-3.8808112
Hamm,1337408,636441,212835,525549,433954,331652,640476,895498,524952,522250,Germany,Gas,Trianel Group,295,51.673164,7.9303239
Scandale,213474,95674,243120,790296,753292,868206,933310,953584,815770,520243,Italy,Gas,EPH,296,41.9087723,12.4528373
Katowice,889214,848637,867301,657957,877950,921905,757305,597102,782278,518402,Poland,Hard Coal,Tauron,297,50.2816378,19.0558872
Grupa Azoty Zakłady Chemiczne,588869,607700,719974,625582,631786,623906,593415,671622,631355,514384,Poland,Gas,Grupa Azoty,298,53.5706506,14.5497373
Pietarsaaren,560960,688131,363183,348194,270980,657861,352052,187144,337766,514201,Finland,Other Fossil Fuel,Alholmens Kraft,299,63.7009424,22.6978578
Lichterfelde,,1260,9995,31343,88666,236519,365578,410959,579432,514106,Germany,Gas,Vattenfall GmbH,300,52.4247387,13.308927
Centrale Termoelettrica Napoli,297432,390926,287952,492742,443557,547295,537384,555054,375573,510977,Italy,Gas,ENGIE,301,40.8377897,14.2954427
PEI - Pointe Jarry,0,95368,571086,530930,531162,518561,544001,579203,539438,510092,France,Oil,EDF,302,16.2679391,-61.586846
Suomenoja,907479,845947,744633,812810,805224,765650,826222,540404,565666,508078,Finland,Hard Coal,Fortum,303,60.1606864,24.7074508
Instalacja Spalania Paliw,417912,390432,390041,392616,510205,488859,528028,507900,526369,508040,Poland,Hard Coal,Synthos Group,304,50.0363862,19.2542053
Heizkraftwerke Süd,747999,619101,589818,810955,999827,907100,942381,1144667,671721,506095,Germany,Gas,SWM Services GmbH,305,48.1198876,11.5604006
Fyns,1659785,1254385,901683,1155662,1053586,747392,559517,337793,535895,501008,Denmark,Hard Coal,Funen district heating,306,55.427903,10.4053463
Bellefontaine,49611,504674,506213,535926,535502,502930,459742,524677,536676,493968,France,Oil,EDF,307,48.688908,-0.974528
Punta Grande,546363,536778,541150,550077,577903,558262,539350,443546,432128,493064,Spain,Other Fossil Fuel,"Unión Eléctrica de Canarias Generación, S.A.U.",308,28.976692,-13.5263235
Latvenergo CHP,817575,627206,742877,739510,469329,836698,897677,595971,675287,487953,Latvia,Gas,Latvenergo Group,309,56.9173299,24.297672
Zofiowka,384321,312872,21409,263954,235212,216011,477973,425725,490795,474537,Poland,Hard Coal,Jastrzbska Spółka Wglowa,310,49.966228,18.6217532
La Rioja,150539,63647,220777,375744,625177,412680,464333,244301,353360,473957,Spain,Gas,ContourGlobal,311,42.4355925,-2.2513604
Mellach,149202,40293,277344,236608,543710,339872,337222,263738,428736,472542,Austria,Gas,VERBUND Thermal Power GmbH & Co KG,312,46.9121003,15.4864385
Braunschweig,482108,389211,421556,461069,468120,421480,435235,373072,451571,467451,Germany,Hard Coal,Braunschweiger Versorgungs-AG & Co. KG,313,52.2777233,10.5178801
Te-Tol,649890,584808,565901,576966,611420,627047,487679,475742,501130,465974,Slovenia,Lignite,Termoelektrarna Toplarna,314,46.0581183,14.5437273
Porici II,489025,545980,479000,537293,604102,531055,454050,338131,343541,458072,Czechia,Lignite,CEZ,315,50.5738041,15.9611825
Dunamenti,408240,87108,244077,434824,616563,352146,639698,723959,644770,457001,Hungary,Gas,MET Group,316,47.327979,18.9201367
Bielsko-Biala,558155,552906,557573,545908,500989,494612,427472,362828,494479,453571,Poland,Hard Coal,Tauron,317,49.873784,19.028928
Haute Corse,142,182183,278981,294789,343306,282419,337923,305118,362311,449342,France,Oil,EDF,318,42.5283988,9.44712
Kraftwerk Rheinberg,719812,532144,613782,612348,601542,600902,559999,520111,433429,448686,Germany,Hard Coal,Solvay Chemicals GmbH,319,51.5647538,6.577881
Zielona Góra,558481,558072,526504,544866,566719,563290,558010,552524,558605,446524,Poland,Hard Coal,PGE,320,51.9519362,15.4893979
Stade Dow gas plant,28000,264132,519014,514294,540575,522931,483920,509429,515657,444755,Germany,Gas,DOW,321,53.6519197,9.5078665
Las Salinas,450355,452112,457794,484592,519651,503989,472975,352681,351564,440555,Spain,Other Fossil Fuel,"Unión Eléctrica de Canarias Generación, S.A.U.",322,28.4976273,-13.8738031
Modugno,563990,512465,394383,423703,514095,320035,544380,737103,424197,438225,Italy,Gas,F2i,323,41.0827212,16.7824423
Azoty Tarnow,814604,803288,726006,500267,586192,560920,496125,439258,452045,428973,Poland,Hard Coal,Grupa Azoty,324,50.0143355,20.9198011
Bedzin,518292,474544,520833,558123,572819,609922,612546,585354,565056,426833,Poland,Hard Coal,EC Będzin SA,325,50.3031633,19.1376264
CropEnergies Zeitz Ethanol plant,415441,406622,379185,433047,415844,437605,406510,420074,381351,425293,Germany,Other Fossil Fuel,CropEnergies AG,326,51.0539394,12.1103479
MaasStroom,241515,190721,157574,61088,424840,726265,966928,831852,582418,423590,Netherlands,Gas,InterGen,327,51.88590285,4.345048471
Ludwigshafen Nord Power Plant,426973,455832,438443,432101,430809,427939,395176,411770,442447,423035,Germany,Gas,BASF SE,328,49.496315,8.4272839
Plana del Vent,268236,133389,141938,234043,338599,132904,785449,119635,11,422306,Spain,Gas,Alpiq Energía,329,40.9911817,0.920462
Castellón,242859,164406,537108,686241,582469,634712,843862,824128,657864,420031,Spain,Gas,Iberdrola,330,39.9837993,0.0209881
Centrale Buitenring Wondelgem Gent,708010,670058,620783,550079,773906,729369,680478,534736,562554,418328,Belgium,Gas,EDF,331,51.1038047,3.7264706
Santurce,732,2921,70,55,54428,2209,42913,14511,311696,414879,Spain,Gas,Iberdrola,332,43.3386276,-3.0537064
Plzen,704377,648495,699517,504966,440239,472865,454966,399137,393402,414860,Czechia,Lignite,Plzeňská teplárenská a.s.,333,49.7528712,13.3991204
Sko-Energo,413346,386998,391981,392103,405451,365504,363212,379193,378690,414736,Czechia,Lignite,ŠKO-ENERGO s.r.o.,334,50.4268477,14.9218555
Energyworks Cartagena,552954,544518,566599,557474,599004,574789,551461,509469,558387,413990,Spain,Gas,Iberdrola,335,37.7200206,-1.1588769
Great Island Generating Station,14944,54262,546698,822186,980641,797165,774611,798519,993092,412983,Ireland,Gas,SSE,336,52.3962044,-6.94719
CCC di Termoli,520806,338349,344340,318335,602604,499362,749730,698840,517331,408944,Italy,Gas,F2i,337,41.9459888,14.9943814
Seraing,145802,46536,2689,3779,4499,198820,421179,701649,316274,406731,Belgium,Gas,EDF,338,50.59586,5.4818
Delesto,665494,540259,540026,585394,468468,473394,317898,318719,419661,405706,Netherlands,Gas,Akzo Nobel,339,53.3174317,6.9514701
Kralupy,372545,394051,374354,385060,407611,401632,403742,397481,429603,404816,Czechia,Other Fossil Fuel,Synthos Group,340,50.2553041,14.3233625
INEOS Oxide Power plant,410991,398381,390322,392443,425708,374326,400858,407941,293201,404454,Belgium,Gas,INEOS,341,51.2432295,4.3256702
CCC Tarragona Power,270470,212919,357745,404931,423209,240281,459262,464161,537964,403084,Spain,Gas,Iberdrola,342,41.11459,1.177292
Berlin-Klingenberg,1447031,1410020,1359028,1377759,975645,598412,631679,532066,474924,402741,Germany,Gas,Vattenfall Wärme Berlin Aktiengesellschaft,343,52.48811,13.49648
Fortuna Nord,442684,487027,426329,409274,400907,371026,369590,375540,432505,396586,Germany,Lignite,RWE,344,50.989147,6.663675
Berlin-Moabit,440865,480837,292414,504094,508992,419676,369269,404102,405330,395852,Germany,Hard Coal,Vattenfall Wärme Berlin Aktiengesellschaft,345,52.5379898,13.3457209
Plzenska energetika ELU III,321965,311055,318285,333293,344098,342362,324629,365548,366481,390728,Czechia,Lignite,EPH,346,49.7452379,13.3617372
Málaga,624177,466428,691344,666246,678462,813206,592041,170310,39895,384077,Spain,Gas,Naturgy,347,36.7356241,-4.5495489
Czechnica,351439,246969,280217,342398,355460,392765,408836,356716,381916,380827,Poland,Hard Coal,PGE,348,51.0376073,17.1471031
Toplofikacia Sofia,490702,428736,338914,402095,368785,383155,383376,376568,418558,378970,Bulgaria,Gas,Toplofikacia Sofia EAD,349,42.6977082,23.3218675
IKW Staßfurt,384233,382055,375702,400780,399603,392967,426834,444677,429609,376855,Germany,Gas,CIECH Soda Deutschland GmbH & Co. KG,350,51.8644945,11.5731283
Rijnmond Power Plant,208067,391437,24418,0,529762,823648,1327797,1103148,280189,374973,Netherlands,Gas,Blackstone Group,351,51.88590285,4.345048471
Naantali 1,1343107,1316455,1106338,1370835,1163345,812737,631053,313689,385738,374364,Finland,Hard Coal,Fortum,352,60.4572846,22.0557388
Oddział Elektrociepłownia Gorzów,445365,443534,431350,437569,433864,477978,463352,437602,436336,364022,Poland,Gas,PGE,353,52.751349,15.269619
Kraftwerk Standort Hattorf,269953,253612,249701,173529,251220,291379,342846,350102,362828,362992,Germany,Gas,K+S Minerals and Agriculture GmbH,354,50.8433728,9.9709766
Cogénération Jemeppe,388700,355380,373547,383829,395625,394469,383474,378178,395178,362735,Belgium,Gas,EDF,355,50.4472559,4.6583652
Le Moule Caraibe,653992,615311,527297,673536,648932,614305,563752,411175,357711,359641.0178,France,Hard Coal,ALBIOMA,356,,
Cologne-Merkenich,592066,336118,506597,455743,537244,538186,366508,329476,348816,358932,Germany,Lignite,RheinEnergie AG,357,51.018182,6.964533
Cuno-Heizkraftwerk Herdecke,116023,77027,50677,188248,192392,182013,375089,532144,409898,357317,Germany,Gas,Mark-E Aktiengesellschaft,358,51.4034402,7.4138208
Lublin-Wrotków,411265,364782,472217,554078,507729,453102,538876,658715,511230,356833,Poland,Hard Coal,PGE,359,51.2171432,22.55826
Central de Barcelona,742032,637761,872578,757822,643205,833073,1007941,169341,19499,356041,Spain,Gas,Naturgy,360,41.3359702,2.1574094
Ponti Sul Mincio,167452,88826,159330,13614,456206,304497,400517,330862,381963,356031,Italy,Gas,A2A,361,45.4068124,10.7029385
Centrale Lage Weide,494759,424705,492509,638304,548995,561951,373815,483241,372206,354908,Netherlands,Gas,Mitsubishi Group,362,52.101159,5.0697777
Cristóbal Colón,66495,76362,135237,305,76502,47570,130830,170242,25813,353168,Spain,Gas,ENEL,363,37.2282402,-6.9520286
Milazzo,503522,514108,515483,515665,518078,406680,403192,457070,565761,351761,Italy,Gas,EDF,364,38.21104,15.24789
Maó,303999,296542,307696,310090,326922,390084,389760,271385,291770,345868,Spain,Other Fossil Fuel,ENEL,365,39.873902,4.3110871
WKC Moerdijk,586857,430506,627884,729983,1221484,513930,801320,540879,245087,345836,Netherlands,Gas,RWE,366,51.6861289,4.5816493
CTE Bucuresti Vest,571350,453171,492172,595248,604430,578560,561533,509610,484117,340561,Romania,Gas,Electrocentrala Bucuresti SA,367,44.4265676,26.0238468
Centrale di Teverola,240306,255472,318096,630257,605967,349841,519159,476856,459498,338269,Italy,Gas,E.ON,368,45.4644464,9.205989
